underlay,下に敷く、基礎になる,,
pottery,陶器,,,
strip,細長い一切れ,,,
gland,腺,,,
intervene,仲介する,,,
meadow,草地、牧草地,,,
incorporate,組み入れる、合体する,,,
immeasurably,計り知れないほどに,,,
nomadic,遊牧の,,,
attain,連結する,,,
adjacent,連結した,,,
dictate,決定づける、命令する,,,
hippopotamus,カバ,,,
petal,花びら,,,
priest,神父,,,
hollow,中が空洞の,,,
assert,断言する,,,
refrain,控える,,,
combustion,燃焼,,,
recede,後退する,,,
editorial,社説,,,
streamlined,流線型の,,,
propel,進ませる、駆り立てる,,,
surge,高まり、大波,,,
feasible,実行可能な,,,
enzyme,酵素,,,
inept,不適切な、無能な,,,
crust,地殻,,,
acutely,ひどく、強く,,,
oval,楕円形,,,
tusk,牙,,,
illusory,錯覚の,,,
forehead,額,,,
rebellion,反乱、抵抗,,,
beak,くちばし,,,
proponent,支持者、提案者,,,
firsthand,直接に,,,
coarse,粗い、雑な,,,
sheer,真の、進路を急に変える,,,
brick,レンガ,,,
concur,賛成する、同時に起こる,,,
pose,問題を引き起こす,,,
utilitarian,実用的な、功利主義者,,,
coerce,強要する,,,
canyon,キャニオン,,,
eddy,渦を巻く、渦,,,
prompt,迅速な,,,
artifact,工芸品、人工物,,,
inventory,在庫,,,
ornament,装飾品,,,
obstruct,妨害する,,,
gist,要点,,,
topsoil,表土,,,
exemplify,実証する、の良い例になる,,,
deficient,不足した,,,
encompass,含む,,,
expedition, 遠征,,,
weather,風化する,,,
centigrade,摂氏の,,,
tailor,服を仕立てる、適合させる,,,
arouse,呼び起こす、目覚めさせる,,,
foster,促進する、育てる,,,
brace,支柱、補強材,,,
mandatory,義務的な,,,
erect,組み立てる,,,
oppress,抑圧する,,,
digress,本題からそれる,,,
desperate,切望してやまない,,,
exposition,博覧会,,,
crescent,三日月,,,
anticipate,見込む,,,
withhold,公表しない、差し引く,,,
furnish,与える,,,
disperse,ばらまく,,,
forestry,森林管理,,,
candid,率直な,,,
discharge,放出する,,,
foul,汚す、反則,,,
configuration,配置、形状,,,
fatten,肥育する,,,
barrel,樽、銃身,,,
assimilate,吸収する、同化する,,,
prized,極めて重要な,,,
commend,称賛する,,,
minuscule,非常に小さい,,,
invertebrate,無脊椎動物,,,
taut,ピンと張った、緊張した,トート,,
appetite,食欲,,,
disgust,嫌悪感,,,
gasify,気化する,,,
ridge,尾根,,,
embellish,飾る,,,
apt,しがちである,,,
infrared,赤外線の,,,
genus,属,,,
locomotion,移動、運動,,,
germinate,発芽する、成長する,,,
stiff,堅い、厳しい,,,
metabolism,新陳代謝,,,
niche,生存を可能にする条件が揃っている場所,,,
